id,slot,quizid,page,requireprevious,questionid,questioncategoryid,includingsubcategories,maxmark
248,6,6,6,0,421,,,1
249,7,6,7,0,422,,,1
250,8,6,8,0,423,,,1
251,1,7,1,0,424,,,1
252,2,7,2,0,425,,,1
253,3,7,3,0,426,,,1
254,4,7,4,0,427,,,1
255,5,7,5,0,428,,,1
256,6,7,6,0,429,,,1
257,7,7,7,0,430,,,1
258,8,7,8,0,431,,,1
259,9,7,9,0,432,,,1
260,10,7,10,0,433,,,1
270,1,12,1,0,527,58,0,1
271,2,12,2,0,528,58,0,1
272,3,12,3,0,529,58,0,1
273,4,12,4,0,530,59,0,1
274,5,12,5,0,531,59,0,1
275,6,12,6,0,532,60,0,1
276,7,12,7,0,533,60,0,1
277,8,12,8,0,534,60,0,1
278,9,12,9,0,535,61,0,1
279,10,12,10,0,536,61,0,1
280,11,12,11,0,537,62,0,1
281,12,12,12,0,538,62,0,1
282,13,12,13,0,539,67,0,1
283,14,12,14,0,540,67,0,1
284,15,12,15,0,541,68,0,1
285,16,12,16,0,542,68,0,1
286,17,12,17,0,543,68,0,1
287,18,12,18,0,544,69,0,1
288,19,12,19,0,545,69,0,1
289,20,12,20,0,546,69,0,1
291,1,13,1,0,548,64,0,1
293,2,13,2,0,550,65,0,1
