id,category,parent,name,questiontext,questiontextformat,generalfeedback,generalfeedbackformat,defaultmark,penalty,qtype,length,stamp,version,hidden,timecreated,timemodified,createdby,modifiedby,idnumber
16,11,0,Q16,"<p><span style=""font-size:10pt"">Calculate 10110011 AND 11101110, then convert it to decimal.</span></p>",1,"<p><span style=""font-size:10pt"">10100010</span><span style=""font-size:10pt""> is the binary, remember AND requires both bits to be on. </span><span style=""font-size:10pt"">10100010</span><span style=""font-size:10pt""> in binary is 162. Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+VEi1Ls,assessment.accelerate-people.co.uk+201014173259+TPoqqA,0,1602696779,1602696779,2,2,
17,11,0,Q17,"<p><span style=""font-size:10pt"">Calculate 11110000 OR 00001111 and convert to decimal. Hint: You shouldn’t need a calculator for this one (but it’s OK if you do use one)</span></p>",1,"<p><span style=""font-size:10pt"">OR is either bit, so in this example we end up with 11111111, which we should know is 255 as this is the sum of all the 8 bits. Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+KlD49q,assessment.accelerate-people.co.uk+201014173259+W2SWGO,0,1602696779,1602696779,2,2,
18,11,0,Q18,"<p><span style=""font-size:10pt"">Calculate NOT </span><span style=""font-size:10pt"">10101010</span><span style=""font-size:10pt""> in binary. </span></p>",1,"<p><span style=""font-size:10pt"">NOT simply inverts the bits,</span><span style=""font-size:10pt""> note that sometimes the leading bit is omitted, as in this example. When there are less than 8 bits start at the lowest (on the left) and assume missing bits (on the right) are 0.</span></p><p><span style=""font-size:10pt"">Please use the calculator here </span><a href=""http://easyonlineconverter.com/converters/bitwise-calculator.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://easyonlineconverter.com/converters/bitwise-calculator.html</span></a></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+K0CqMd,assessment.accelerate-people.co.uk+201014173259+MYkgH0,0,1602696779,1602696779,2,2,
19,11,0,Q19,"<p><span style=""font-size:10pt"">Identify the network part of this address: 192.168.100.50 / 16</span></p>",1,"<p><span style=""font-size:10pt"">Remember the host part is on the right and the network part is on the left, the CIDR (or subnet mask) tells you how many bits to apply to each, so in a /16 half is the host the other is the network part. In a /8 the first octet is the network part and the remaining /24 are the host parts. Refer to slides / presentation. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+H2pZmA,assessment.accelerate-people.co.uk+201014173259+uM07r1,0,1602696779,1602696779,2,2,
20,11,0,Q20,"<p><span style=""font-size:10pt"">Identify the host part of this address: 172.16.0.30 / 8</span></p>",1,"<p><span style=""font-size:10pt"">Remember the host part is on the right and the network part is on the left, the CIDR (or subnet mask) tells you how many bits to apply to each, so in a /16 half is the host the other is the network part. In a /8 the first octet is the network part and the remaining /24 are the host parts. Refer to slides / presentation.</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+McFfBy,assessment.accelerate-people.co.uk+201014173259+dZh6vR,0,1602696779,1602696779,2,2,
21,11,0,Q21,"<p><span style=""font-size:10pt"">Which o</span><span style=""font-size:10pt"">f the following statements are true? (select </span><strong><span style=""font-size:10pt"">two</span></strong><span style=""font-size:10pt""> only)</span></p>",1,"<p><span style=""font-size:10pt"">The order is (from lowest to highest), Data, Voice, Video</span></p><p> </p>",1,2,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+DSVT5X,assessment.accelerate-people.co.uk+201014173259+JaeNXZ,0,1602696779,1602696779,2,2,
22,11,0,Q22,"<p><span style=""font-size:10pt"">When playing a MMORPG (</span><span style=""font-size:10pt"">Massively multiplayer online role-playing game</span><span style=""font-size:10pt"">) you notice that your latency increases when you are in populated areas (such as a main city) but settles down (reduces to lower latency) when outside of these zones, what is this variation in server response time an example of? </span></p>",1,"<p><span style=""font-size:10pt"">Whilst you may experience a FPS loss in this example (due to the additional processing requirements), which may also contribute to a higher ping, the actual term for the variance in ping from one moment to the next is called Jitter. Lag is simply the time taken for the data to be received. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+UdfWkC,assessment.accelerate-people.co.uk+201014173259+MHUpJ9,0,1602696779,1602696779,2,2,
23,11,0,Q23,"<p><span style=""font-size:10pt"">What type of address </span><span style=""font-size:10pt"">would you typically assign to a server?</span></p>",1,"<p><span style=""font-size:10pt"">A static address will usually be assigned on a server as we would not want these addresses to change.</span></p><p><span style=""font-size:10pt"">Review notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9113""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9113</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+U3W5R5,assessment.accelerate-people.co.uk+201014173259+jhwvog,0,1602696779,1602696779,2,2,
24,11,0,Q24,"<p><span style=""font-size:10pt"">When might you perform a reverse DNS lookup?</span></p>",1,"<p><span style=""font-size:10pt"">Forward DNS lookup is using an Internet domain name to find an IP address. Reverse DNS lookup is using an Internet IP address to find a domain name. ... An Internet facility that lets you do either forward or reverse DNS lookup yourself is called </span><span style=""font-size:10pt"">nslookup</span><span style=""font-size:10pt"">.</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+dh1gPu,assessment.accelerate-people.co.uk+201014173259+ks7VpA,0,1602696779,1602696779,2,2,
25,11,0,Q25,"<p><span style=""font-size:10pt"">Why might you create a VLAN?</span></p>",1,"<p><span style=""font-size:10pt"">VLANs allow network traffic to seperated in to different broadcast domains, this reduces collisions, which is a good thing. The act of segmenting the network has many benefits, as we add more segments, or VLANs we are creating MORE broadcast domains which REDUCES the number of collisions. </span></p><p><span style=""font-size:10pt"">Review notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9116""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9116</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+tPxgEu,assessment.accelerate-people.co.uk+201014173259+aio5JX,0,1602696779,1602696779,2,2,
26,11,0,Q26,"<p><span style=""font-size:10pt"">What devices would you TYPICALLY use to create a VLAN?</span></p>",1,"<p><span style=""font-size:10pt"">VLANs are essentially logic</span><span style=""font-size:10pt"">al</span><span style=""font-size:10pt""> groups of computers</span><span style=""font-size:10pt"">, VLAN operates by using the physical addresses of devices (MAC address), and uses ports (switches are designed to communicate to physical addresses) to send information. Switches are needed rather than routers as routers talk the language of TCP/IP (IP addresses and subnetting). It’s important to remember that CIDR/subnetting is a layer 3 (router) technology and VLANs are layer 2 (switch) technologies. Don’t worry too much about the OSI layers for this exam but it useful to help understand the differences.</span></p><p><span style=""font-size:10pt"">Additional reading here, </span><a href=""http://www.fiber-optic-transceiver-module.com/vlan-vs-subnet.html""><span class=""Hyperlink-H"" style=""font-size:10pt"">http://www.fiber-optic-transceiver-module.com/vlan-vs-subnet.html</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+joL72A,assessment.accelerate-people.co.uk+201014173259+u6mO4n,0,1602696779,1602696779,2,2,
27,11,0,Q27,"<p><span style=""font-size:10pt"">Where on a Linux system would the error logs be found?</span></p>",1,"<p><span style=""font-size:10pt"">/var/log is the main location linux uses to store all types of log files, these may be about mail/webservices/system etc. The main log file is called “messages”, this is default on most linux systems. Linux does not require extensions (although some log files may have one), the messages log file has no extension. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+GiYPvk,assessment.accelerate-people.co.uk+201014173259+Xvjf93,0,1602696779,1602696779,2,2,
28,11,0,Q28,"<p><span style=""font-size:10pt"">Check Disk (chkdsk)</span><span style=""font-size:10pt""> </span><span style=""font-size:10pt"">is a command run utility that is used on DOS and Microsoft Windows-based systems to check the file system</span><span style=""font-size:10pt"">, Linux has a similar command, what is it?</span></p>",1,"<p><span style=""font-size:10pt"">The system utility fsck (file system consistency check) is a tool for checking the consistency of a file system in Unix and Unix-like operating systems, such as Linux, macOS, and FreeBSD. A similar command, CHKDSK, exists in Microsoft Windows and (its ancestor) MS-DOS</span><span style=""font-size:10pt"">.</span></p><p> </p><p><span style=""font-size:10pt"">The other options listed are valid Linux commands and do relate to file systems, most specifically with the creation and management of partitions. </span><span style=""font-size:10pt"">Gparted</span><span style=""font-size:10pt""> can be used on both Windows and Linux. </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+mVFoAt,assessment.accelerate-people.co.uk+201014173259+aHbPZq,0,1602696779,1602696779,2,2,
29,11,0,Q29,"<p><span style=""font-size:10pt"">What is the maximum individual file size on a FAT32 partition</span></p>",1,"<p><span style=""font-size:10pt"">Individual files on a FAT32 drive can't be over 4 GB in size—that's the maximum. A FAT32 partition must also be less than 8 TB, which admittedly is less of a limitation unless you're using super-high-capacity drive</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+cKSgqe,assessment.accelerate-people.co.uk+201014173259+Hleq9V,0,1602696779,1602696779,2,2,
30,11,0,Q30,"<p><span style=""font-size:10pt"">Which of the following matches this definition “</span><span style=""font-size:10pt"">New product functionality that is first distributed outside the context of a product release and that is typically included in the next full product </span><span style=""font-size:10pt"">release.</span><span style=""font-size:10pt"">”</span></p>",1,"<p><span style=""font-size:10pt"">Review notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9093""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9093</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+u5CMNi,assessment.accelerate-people.co.uk+201014173259+6sJQ14,0,1602696779,1602696779,2,2,
31,11,0,Q31,"<p><span style=""font-size:10pt"">A Windows service is a computer program that operates in the background. It is similar in concept to </span><span style=""font-size:10pt"">what in Linux?</span></p>",1,"<p><span style=""font-size:10pt"">Overall Feedback</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+MGp62O,assessment.accelerate-people.co.uk+201014173259+zdDs3m,0,1602696779,1602696779,2,2,
32,11,0,Q32,"<p><span style=""font-size:10pt"">What is the correct t</span><span style=""font-size:10pt"">ypical status sequences of maintenance tasks</span></p>",1,"<p><span style=""font-size:10pt"">open - initial recording of task</span><span style=""font-size:10pt""> (</span><span style=""font-size:10pt"">    customer details</span><span style=""font-size:10pt"">, </span><span style=""font-size:10pt"">description of task</span><span style=""font-size:10pt"">, </span><span style=""font-size:10pt"">time</span><span style=""font-size:10pt"">, </span><span style=""font-size:10pt"">business impact</span><span style=""font-size:10pt"">, s</span><span style=""font-size:10pt"">ystem(s) impacted</span><span style=""font-size:10pt"">)</span></p><p><span style=""font-size:10pt"">pending - waiting further input or information needed to progress</span></p><p><span style=""font-size:10pt"">fixed - awaiting confirmation an issue is resolved</span></p><p><span style=""font-size:10pt"">escalation - send the task to a more technically specialised team or more senior member of staff</span></p><p><span style=""font-size:10pt"">closed - confirmed complete with documented diagnosis and fix</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+cLAGQE,assessment.accelerate-people.co.uk+201014173259+CFmRhM,0,1602696779,1602696779,2,2,
33,11,0,Q33,"<p><span style=""font-size:10pt"">Consider the following tasks, which would you do first? </span></p>",1,"<p><span style=""font-size:10pt"">Whilst all these jobs are important you must prioritize tasks according to business impact and number of users affected, one user is less important (regardless of who they are) than multiple users, you must also consider the impact the problem could have on an important sales meeting. This problem is “live” and must be resolved asap. Software updates would likely not prevent users accessing their system. Review the notes here, </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9090""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9090</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+XGOHdz,assessment.accelerate-people.co.uk+201014173259+w6g9oi,0,1602696779,1602696779,2,2,
34,11,0,Q34,"<p><span style=""font-size:10pt"">What </span><span style=""font-size:10pt"">is a commitment between a service provider and a client</span></p>",1,"<p><span style=""font-size:10pt"">A service-level agreement (SLA) is a commitment between a service provider and a client. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user.</span><span style=""font-size:10pt""> </span><a href=""https://vle.tdm.co.uk/mod/page/view.php?id=9089""><span class=""Hyperlink-H"" style=""font-size:10pt"">https://vle.tdm.co.uk/mod/page/view.php?id=9089</span></a><span style=""font-size:10pt""> </span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+b9MJpe,assessment.accelerate-people.co.uk+201014173259+DnRJNr,0,1602696779,1602696779,2,2,
35,11,0,Q35,"<p><span style=""font-size:10pt"">What is true when considering personal and permiter firewalls?</span></p>",1,"<p><span style=""font-size:10pt"">Overall Feedback</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+BQ72YS,assessment.accelerate-people.co.uk+201014173259+Zh7EUm,0,1602696779,1602696779,2,2,
36,11,0,Q36,"<p><span style=""font-size:10pt"">You need to securely connect to the console of a firewall in the company in order to add some rules, this firewall does not have a web/graphical interface, which remote support protocol or service would be best suited? </span></p>",1,"<p><span style=""font-size:10pt"">RDP stands for Remote Desktop Protocol. It is a proprietary protocol built by Microsoft to let users graphically control a remote computer.</span></p><p><span style=""font-size:10pt"">VNC stands for Virtual Network Computing. It’s an open platform independent graphical desktop sharing system designed to remotely control another computer. </span></p><p><span style=""font-size:10pt"">SSH, also known as Secure Socket Shell, is a network protocol that provides administrators with a secure way to access a remote computer. SSH also refers to the suite of utilities that implement the protocol. Most Linux computers will use SSH, there are also many devices such as firewalls and switches that can be accessed using SSH.</span></p><p><span style=""font-size:10pt"">Telnet is also worth a mention here as it can also be used to connect to devices, however telnet is not a secure connection and so it's use must be carefully considered.</span></p>",1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201014173259+2KtyUs,assessment.accelerate-people.co.uk+201014173259+6avggf,0,1602696779,1602696779,2,2,
37,14,0,"1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Refer to the exhibit.In the exhibit, a correlogram is provided based ...","<div style='font-size:12pt; font-family:""Times New Roman""; color:#000000;'>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Refer to the exhibit.<br>In the exhibit, a correlogram is provided based on an autocorrelation analysis of a sample dataset<br> <img width='323' height='294' align='bottom' alt=""mc043-1.jpg"" src=""@@PLUGINFILE@@/ppg__examview__DA-DellEMC-Q50-1__mc043-1.jpg"" border='0'><br>What can you conclude from only this exhibit?</div>",1,,1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201017154240+N4Ryp4,assessment.accelerate-people.co.uk+201017154241+Xa3H8d,0,1602949360,1602949360,5,5,
38,14,0,1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Refer to the exhibit.You have scored your Naive Bayesian classifier ...,"<div style='font-size:12pt; font-family:""Times New Roman""; color:#000000;'><span style='font-family:""Arial""'>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Refer to the exhibit.<br></span><span style='font-family:""Arial""'>You have scored your Naive Bayesian classifier model on a holdout test data for cross validation and determined the way the samples scored and tabulated them as shown in the exhibit.<br><img width='363' height='258' align='bottom' alt=""mc039-1.jpg"" src=""@@PLUGINFILE@@/ppg__examview__DA-DellEMC-Q50-1__mc039-1.jpg"" border='0'><br><br><br>What are the <b>False Positive Rate (FPR)</b> and the <b>False Negative Rate (FNR)</b> of the model?</span></div>",1,,1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201017154241+lPhWHY,assessment.accelerate-people.co.uk+201017154241+bCGI4e,0,1602949361,1602949361,5,5,
39,14,0,1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; What does R code nv &lt;- v[v &lt; 1000] do?,"<div style='font-size:12pt; font-family:""Times New Roman""; color:#000000;'>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; What does R code <b>nv &lt;- v[v &lt; 1000]</b> do?</div>",1,,1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201017154241+rnxwIp,assessment.accelerate-people.co.uk+201017154241+DJoIio,0,1602949361,1602949361,5,5,
40,14,0,1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; What is the primary function of the NameNode in Hadoop?...,"<div style='font-size:12pt; font-family:""Times New Roman""; color:#000000;'>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; What is the primary function of the <b>NameNode</b> in Hadoop?</div>",1,,1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201017154241+NbYJ5h,assessment.accelerate-people.co.uk+201017154241+kUj09f,0,1602949361,1602949361,5,5,
41,14,0,"Consider a scale that has five (5) values that range from ""not important"" to ...","<div style='font-size:12pt; font-family:""Times New Roman""; color:#000000;'>Consider a scale that has five (5) values that range from ""not important"" to ""very important"". Which data classification best describes this data?</div>",1,,1,1,0.3333333,multichoice,1,assessment.accelerate-people.co.uk+201017154241+g6vtQ5,assessment.accelerate-people.co.uk+201017154241+1N6i2k,0,1602949361,1602949361,5,5,
